abide	abided/*abode	abided/*abidden
onlay	onlaid	onlaid
onlead	onled	onled
ought	ought	ought
outbid	outbid	outbid
outbreak	outbroke	outbroken
outdo	outdid	outdone
outdraw	outdrew	outdrawn
outdrink	outdrank	outdrunk
outfly	outflew	outflown
outgrow	outgrew	outgrown
outlay	outlaid	outlaid
outlead	outled	outled
outleap	outleaped/outleapt	outleaped/outleapt
output	output	output
outride	outrode	outridden
outrun	outran	outrun
outsell	outsold	outsold
outshine	outshined/outshone	outshined/outshone
outspend	outspent	outspent
outspin	outspun	outspun
outstride	outstrode	outstridden
outstrive	outstrove	outstriven
outswear	outswore	outsworn
outswim	outswam	outswum/outswam
outtell	outtold	outtold
outthink	outthought	outthought
outthrow	outthrew	outthrown
outthrust	outthrust	outthrust
outwear	outwore	outworn
overbear	overbore	overborne
overbeat	overbeat	overbeaten/overbeat
overbend	overbent	overbent
overbid	overbid	overbid
overblow	overblew	overblown
overbreed	overbred	overbred
overbuild	overbuilt	overbuilt
overbuy	overbought	overbought
overcast	overcast	overcast
overclothe	overclothed/overclad	overclothed/overclad
overcome	overcame	overcome
overdo	overdid	overdone
overdraw	overdrew	overdrawn
overdrink	overdrank	overdrunk
overdrive	overdrove	overdriven
overeat	overate	overeaten
overfeed	overfed	overfed
overfly	overflew	overflown
overget	overgot	overgotten
overgive	overgave	overgiven
overgo	overwent	overgone
overgrow	overgrew	overgrown
overhang	overhung	overhung
overhear	overheard	overheard
overhit	overhit	overhit
overlade	overladed	overladen/overladed
overlay	overlaid	overlaid
overlead	overled	overled
overleap	overleaped/overleapt	overleaped/overleapt
overlearn	overlearned/overlearnt	overlearned/overlearnt
overleave	overleft	overleft
overlie	overlay	overlain
overpay	overpaid	overpaid
override	overrode	overridden
overrun	overran	overrun
oversee	oversaw	overseen
oversell	oversold	oversold
overset	overset	overset
oversew	oversewed	oversewed/oversewn
overshake	overshook	overshaken
overshine	overshined/overshone	overshined/overshone
overshoot	overshot	overshot
overshrink	overshrank/overshrunk	overshrunk/overshrunken
oversleep	overslept	overslept
overslide	overslid	overslid/overslidden
overslip	overslipped/*overslipt	overslipped/*overslipt
overspend	overspent	overspent
overspill	overspilled/overspilt	overspilled/overspilt
overstand	overstood	overstood
overstrew	overstrewed	overstrewn
overstride	overstrode	overstridden
overstrike	overstruck	overstruck
overstring	overstrung	overstrung
overstrive	overstrove	overstriven
overswing	overswung/overswang	overswung
overtake	overtook	overtaken
overthrow	overthrew	overthrown
overwear	overwore	overworn
overwet	overwet/overwetted	overwet/overwetted
overwork	overworked/*overwrought	overworked/*overwrought
overwrite	overwrote	overwritten
partake	partook	partaken
pay	paid/payed	paid/payed
pen	penned/pent	penned/pent
plead	pleaded/pled	pleaded/pled
podcast	podcast	podcast
precast	precast	precast
prepay	prepaid	prepaid
preset	preset	preset
proofread	proofread	proofread
prove	proved	proved/proven
put	put	put
queath	quoth	quoth/*quethen
quethe	quoth	quoth/*quethen
quick-freeze	quick-froze	quick-frozen
quit	quit/quitted	quit/quitted
reach	reached/*raught	reached/*raught
read	read	read
reave	reft	reft
rebid	rebid	rebid
rebreak	rebroke	rebroken
rebuild	rebuilt	rebuilt
recast	recast	recast
recut	recut	recut
redeal	redealt	redealt
redo	redid	redone
redraw	redrew	redrawn
refind	refound	refound
refreeze	refroze	refrozen
regrow	regrew	regrown
re-lay	re-laid	re-laid
relearn	relearned/relearnt	relearned/relearnt
relight	relit/relighted	relit/relighted
remake	remade	remade
rend	rent	rent
repay	repaid	repaid
reread	reread	reread
rerun	reran	rerun
resell	resold	resold
resend	resent	resent
reset	reset	reset
reshoe	reshod	reshod
reshoot	reshot	reshot
reshow	reshowed	reshown/reshowed
reshut	reshut	reshut
resing	resang	resung
resit	resat	resat
retake	retook	retaken
retell	retold	retold
rethink	rethought	rethought
retread	retrod	retrodden/retrod
rewed	rewed/rewedded	rewed/rewedded
rewind	rewound	rewound
rewrite	rewrote	rewritten
rid	rid/ridded	rid/ridden/ridded
ride	rode	ridden
ring	rang	rung
rise	rose	risen
rive	rived/rove	rived/riven
run	ran	run
saw	sawed	sawn/sawed
say	said	said
see	saw	seen
seek	sought	sought
seethe	seethed/*sod	seethed/*sodden
self-feed	self-fed	self-fed
sell	sold	sold
send	sent	sent
set	set	set
sew	sewed	sewn/sewed
shake	shook	shaken
shall	should	should
shape	shaped	shaped/*shapen
shave	shaved/*shove	shaved/shaven
shear	shore/sheared	shorn/sheared
shed	shed	shed
shine	shined/shone	shined/shone
shit	shat/shitted/shit	shat/shitted/shit/*shitten
shite	shat/shitted/shit	shat/shitted/shit/*shitten
shoe	shoed/shod	shoed/shod/shodden
shoot	shot	shot
show	showed	shown/showed
shrink	shrank/shrunk	shrunk/shrunken
shrive	shrove	shriven
shut	shut	shut
sight-read	sight-read	sight-read
sightsee	sightsaw	sightseen
simulcast	simulcast	simulcast
sing	sang	sung
sink	sank/sunk	sunk/sunken
sit	sat/*sate	sat/*sitten
slay	slew/slayed	slain/slayed
sleep	slept	slept
slide	slid	slid/slidden
sling	slung/slang	slung
slink	slunk	slunk
slip	slipped/*slipt	slipped/*slipt
slit	slit	slit
smell	smelled/smelt	smelled/smelt
smite	smote/*smit	smitten
sneak	sneaked/snuck	sneaked/snuck
sow	sowed/sew	sown/sowed
speak	spoke/*spake	spoken/spoke
speed	sped/speeded	sped/speeded
spell	spelled/spelt	spelled/spelt
spend	spent	spent
spill	spilled/spilt	spilled/spilt
spin	spun/span	spun
spit	spat/spit	spat/spit
split	split	split
spoil	spoiled/spoilt	spoiled/spoilt
spoonfeed	spoonfed	spoonfed
spread	spread	spread
spring	sprang/sprung	sprung
stand	stood	stood
starve	starved/starf/storve	starved/storven
stave	staved/stove	staved/stove/stoven
stay	stayed/*staid	stayed/*staid
steal	stole	stolen
stick	stuck	stuck
sting	stung/stang	stung
stink	stank/stunk	stunk
stretch	stretched/*straught	stretched/*straught
strew	strewed/strew	strewed/strewn
stride	strode/strided	stridden/strode/strided
strike	struck	struck/stricken
string	strung	strung
strive	strove/strived	striven/strived
sublet	sublet	sublet
swear	swore	sworn
sweat	sweated/sweat	sweated/sweat
sweep	swept	swept
swell	swelled/*swole	swelled/swollen
swelt	swelted/*swolt	swelted/*swolten
swim	swam	swum/swam
swing	swung/swang	swung
swink	swank/*swonk	swonken
take	took	taken
teach	taught	taught
tear	tore	torn
telecast	telecast	telecast
tell	told	told
test-drive	test-drove	test-driven
test-fly	test-flew	test-flown
think	thought	thought
thrive	thrived/*throve/*thrave	thrived/*thriven
throw	threw	thrown
thrust	thrust/thrusted	thrust/thrusted
tread	trod/treaded	trodden/trod/treaded
typecast	typecast	typecast
unbend	unbent	unbent
unbind	unbound	unbound
unclothe	unclothed/unclad	unclothed/unclad
underbear	underbore	underborne
underbet	underbet	underbet
underbid	underbid	underbid
underbind	underbound	underbound
underbuild	underbuilt	underbuilt
underbuy	underbought	underbought
undercast	undercast	undercast
underclothe	underclothed/underclad	underclothed/underclad
undercut	undercut	undercut
underdig	underdug	underdug
underdo	underdid	underdone
underdraw	underdrew	underdrawn
undereat	underate	undereaten
underfeed	underfed	underfed
underget	undergot	undergotten
undergird	undergirt/undergirded	undergirt/undergirded
undergo	underwent	undergone
undergrow	undergrew	undergrown
underhang	underhung	underhung
underhew	underhewed	underhewn/*underhewed
underhit	underhit	underhit
underkeep	underkept	underkept
underlay	underlaid	underlaid
underlead	underled	underled
underlet	underlet	underlet
underlie	underlay	underlain
underpay	underpaid	underpaid
underput	underput	underput
underrun	underran	underrun
undersee	undersaw	underseen
undersell	undersold	undersold
undershoot	undershot	undershot
undersleep	underslept	underslept
understand	understood	understood
undertake	undertook	undertaken
underthrow	underthrew	underthrown
underwrite	underwrote	underwritten
undo	undid	undone
unfreeze	unfroze	unfrozen
unhear	unheard	unheard
unlay	unlaid	unlaid
unlearn	unlearned/unlearnt	unlearned/unlearnt
unmake	unmade	unmade
unweave	unwove	unwoven
unwind	unwound	unwound
upcast	upcast	upcast
upgrow	upgrew	upgrown
uphang	uphung	uphung
upheave	upheaved/uphove	upheaved/uphove/uphoven
uphold	upheld	upheld
uplay	uplaid	uplaid
uplead	upled	upled
uprise	uprose	uprisen
upsell	upsold	upsold
upset	upset	upset
upstand	upstood	upstood
upsweep	upswept	upswept
upswell	upswelled	upswelled/upswollen
uptake	uptook	uptaken
uptear	uptore	uptorn
upthrow	upthrew	upthrown
wake	woke	woken
wax	waxed	waxed/*waxen
waylay	waylaid	waylaid
wear	wore	worn
weave	wove/weaved	woven/weaved
webcast	webcast	webcast
wed	wed/wedded	wed/wedded
weep	wept	wept
wend	wended/*went	wended/*went
wet	wet/wetted	wet/wetted
will	would	would
win	won	won
wind	wound	wound
withdraw	withdrew	withdrawn
withgo	withwent	withgone
withhold	withheld	withheld
withsay	withsaid	withsaid
withset	withset	withset
withsit	withsat	withsat/*withsitten
withstand	withstood	withstood
work	worked/*wrought	worked/*wrought
worth	worth/*worthed	worth/*worthed/*worthen
wreak	wreaked/wrought/wrack/wroke	wreaked/wrought/*wreaken/*wroken
wring	wrang/wrung	wrung
write	wrote/*writ	written/*writ
writhe	writhed/*wrothe	writhed/*writhen
